date,prediction,real_price
2022/03/21,39666.50390625,41078.0
2022/03/22,39338.51171875,42358.8
2022/03/23,41143.6015625,42893.0
2022/03/24,40951.09765625,43960.9
2022/03/25,41800.90625,44348.7
2022/03/26,42190.31640625,44500.8
2022/03/27,41247.484375,46820.5
2022/03/28,41077.6796875,47128.0
2022/03/29,42358.47265625,47465.7
2022/03/30,42892.6796875,47062.7
2022/03/31,43960.5859375,45538.7
2022/04/01,44348.39453125,46281.6
2022/04/02,44500.49609375,45868.9
2022/04/03,46820.24609375,46453.6
2022/04/04,47127.76953125,46622.7
2022/04/05,47465.45703125,45556.0
2022/04/06,47062.453125,43206.7
2022/04/07,45538.453125,43503.9
2022/04/08,46281.36328125,42287.7
2022/04/09,45868.65625,42782.1
2022/04/10,46453.3671875,42207.7
2022/04/11,46622.46875,39521.9
2022/04/12,45555.77734375,40127.2
2022/04/13,43206.44140625,41166.7
2022/04/14,43503.63671875,39935.5
2022/04/15,42287.421875,40553.5
2022/04/16,42781.83203125,40424.5
2022/04/17,42207.4296875,39716.9
2022/04/18,39521.5703125,40826.2
2022/04/19,40126.8671875,41502.8
2022/04/20,41166.37890625,41374.4
2022/04/21,39935.16015625,40527.4
2022/04/22,40553.171875,39740.3
2022/04/23,40424.16796875,39486.7
2022/04/24,39716.55078125,39469.3
2022/04/25,40825.88671875,40458.3
2022/04/26,41502.5,38117.5
2022/04/27,41374.09765625,39241.1
2022/04/28,40527.09375,39773.8
2022/04/29,39739.984375,38609.8
2022/04/30,39486.3828125,37714.9
2022/05/01,39469.0078125,38469.1
2022/05/02,40458.01171875,38529.3
2022/05/03,38117.1875,37750.4
2022/05/04,39240.7890625,39698.4
2022/05/05,39773.484375,36575.1
2022/05/06,38609.46875,36040.9
2022/05/07,37714.5625,35501.9
2022/05/08,38468.7890625,34059.3
2022/05/09,38529.0,30296.9
2022/05/10,37750.078125,31022.9
2022/05/11,39698.08984375,28936.4
2022/05/12,36574.75,29047.8
2022/05/13,36040.54296875,29283.1
2022/05/14,35501.53515625,30101.3
2022/05/15,34058.9453125,31305.1
2022/05/16,30296.515625,29862.9
2022/05/17,31022.505859375,30425.9
2022/05/18,28935.9921875,28720.3
2022/05/19,29047.38671875,30314.3
2022/05/20,29282.689453125,29200.7
2022/05/21,30100.8984375,29432.2
2022/05/22,31304.703125,30323.7
2022/05/23,29862.4921875,29098.9
2022/05/24,30425.5078125,29655.6
2022/05/25,28719.8671875,29562.4
2022/05/26,30313.888671875,29267.2
2022/05/27,29200.2734375,28627.6
2022/05/28,29431.77734375,28814.9
2022/05/29,30323.283203125,29446.0
2022/05/30,29098.4609375,31726.4
2022/05/31,29655.173828125,31792.3
2022/06/01,29561.96484375,29799.1
2022/06/02,29266.75390625,30467.5
2022/06/03,28627.14453125,29704.4
2022/06/04,28814.451171875,29832.9
2022/06/05,29445.556640625,29906.7
2022/06/06,31725.9765625,31370.7
2022/06/07,31791.896484375,31155.5
2022/06/08,29798.66015625,30214.4
2022/06/09,30467.0703125,30112.0
2022/06/10,29703.9609375,29083.8
2022/06/11,29832.458984375,28360.8
2022/06/12,29906.263671875,26762.7
2022/06/13,31370.2734375,22487.4
2022/06/14,31155.06640625,22206.8
2022/06/15,30213.95703125,22572.8
2022/06/16,30111.548828125,20381.7
2022/06/17,29083.337890625,20471.5
2022/06/18,28360.330078125,19017.6
2022/06/19,26762.22265625,20553.3
2022/06/20,22486.880859375,20599.5
2022/06/21,22206.28515625,20710.6
2022/06/22,22572.27734375,19987.0
2022/06/23,20381.171875,21085.9
2022/06/24,20470.97265625,21231.7
2022/06/25,19017.0546875,21502.3
2022/06/26,20552.771484375,21027.3
2022/06/27,20598.96875,20735.5
2022/06/28,20710.080078125,20280.6
2022/06/29,19986.478515625,20104.0
2022/06/30,21085.380859375,19784.7
2022/07/01,21231.181640625,19269.4
2022/07/02,21501.78515625,19242.3
2022/07/03,21026.77734375,19297.1
2022/07/04,20734.96875,20231.3
2022/07/05,20280.06640625,20190.1
2022/07/06,20103.466796875,20548.2
2022/07/07,19784.1796875,21637.6
2022/07/08,19268.873046875,21731.1
2022/07/09,19241.7734375,21592.2
2022/07/10,19296.57421875,20860.4
2022/07/11,20230.822265625,19970.6
2022/07/12,20189.6328125,19323.9
2022/07/13,20547.724609375,20212.1
2022/07/14,21637.1328125,20569.9
2022/07/15,21730.634765625,20836.3
2022/07/16,21591.732421875,21190.3
2022/07/17,20859.92578125,20779.3
2022/07/18,19970.13671875,22485.7
2022/07/19,19323.4296875,23389.4
2022/07/20,20211.6484375,23231.7
2022/07/21,20569.44921875,23164.6
2022/07/22,20835.853515625,22715.0
2022/07/23,21189.857421875,22465.5
2022/07/24,20778.8359375,22609.2
2022/07/25,22485.25,21361.7
2022/07/26,23388.966796875,21239.8
2022/07/27,23231.267578125,22930.6
2022/07/28,23164.166015625,23843.9
2022/07/29,22714.560546875,23804.6
2022/07/30,22465.05859375,23656.2
2022/07/31,22608.755859375,23336.9
2022/08/01,21361.24609375,23314.2
2022/08/02,21239.3359375,22978.1
2022/08/03,22930.142578125,22846.5
2022/08/04,23843.4453125,22631.0
2022/08/05,23804.14453125,23289.3
2022/08/06,23655.740234375,22961.3
2022/08/07,23336.46484375,23175.9
2022/08/08,23313.7578125,23809.5
2022/08/09,22977.671875,23164.3
2022/08/10,22846.064453125,23947.6
2022/08/11,22630.568359375,23957.5
2022/08/12,23288.875,24402.8
2022/08/13,22960.873046875,24424.1
2022/08/14,23175.46484375,24319.3
2022/08/15,23809.0703125,24137.0
2022/08/16,23163.859375,23883.3
2022/08/17,23947.166015625,23336.0
2022/08/18,23957.064453125,23212.7
2022/08/19,24402.369140625,20877.6
